iter	MultiClass
0	5.657645589
1	5.602727175
2	5.552256666
3	5.518756793
4	5.466701635
5	5.42007727
6	5.368434129
7	5.316154908
8	5.264369777
9	5.210238556
10	5.156821394
11	5.106853492
12	5.066957026
13	5.015124598
14	4.973718845
15	4.930429936
16	4.88183807
17	4.835289166
18	4.787187408
19	4.737804264
20	4.689832982
21	4.64535572
22	4.599470511
23	4.550841637
24	4.506931782
25	4.462983714
26	4.416632569
27	4.374778794
28	4.330968051
29	4.28539199
30	4.248530239
31	4.207998444
32	4.161601877
33	4.117530856
34	4.075335762
35	4.03272326
36	3.989340061
37	3.950661338
38	3.908540033
39	3.859898733
40	3.816818195
41	3.778412799
42	3.740296422
43	3.697619043
44	3.657916777
45	3.616114917
46	3.574196495
47	3.534814106
48	3.495843245
49	3.457349807
50	3.416861786
51	3.37451293
52	3.335453151
53	3.296834453
54	3.264624337
55	3.22919646
56	3.195135278
57	3.162697238
58	3.126867139
59	3.093220794
60	3.061743695
61	3.03064649
62	2.996727207
63	2.963089413
64	2.930111364
65	2.902316547
66	2.869427965
67	2.836019649
68	2.806524122
69	2.776390823
70	2.749292164
71	2.720139684
72	2.689264836
73	2.663588652
74	2.639210265
75	2.612236894
76	2.586518269
77	2.56199974
78	2.535299409
79	2.510761925
80	2.494511712
81	2.470276624
82	2.446852809
83	2.424406599
84	2.40088201
85	2.379528401
86	2.358803261
87	2.336565008
88	2.314562172
89	2.293008887
90	2.272439057
91	2.253835214
92	2.233497455
93	2.211815921
94	2.191973967
95	2.17300102
96	2.152454716
97	2.13538511
98	2.119894634
99	2.101674829
8755
