iter	Passed	Remaining
0	960	95136
1	2384	116841
2	3653	118134
3	4640	111368
4	5602	106450
5	6554	102691
6	7128	94709
7	7655	88039
8	8166	82569
9	8818	79368
10	9377	75873
11	9876	72426
12	10355	69301
13	10869	66770
14	11459	64937
15	11974	62866
16	12547	61262
17	13103	59694
18	13687	58352
19	14185	56740
20	14852	55874
21	15377	54521
22	16336	54690
23	17283	54730
24	18175	54527
25	19032	54168
26	20051	54213
27	20759	53380
28	21276	52091
29	21933	51178
30	22426	49916
31	22971	48813
32	23921	48567
33	24782	48107
34	25294	46975
35	25879	46007
36	26428	45000
37	27323	44580
38	28173	44066
39	29127	43690
40	29980	43142
41	30881	42646
42	31782	42130
43	32735	41663
44	33683	41168
45	34620	40641
46	35476	40005
47	35977	38975
48	36588	38081
49	37440	37440
50	37952	36464
51	38480	35520
52	38979	34566
53	39628	33757
54	40196	32888
55	40733	32005
56	41240	31110
57	41831	30291
58	42366	29440
59	42936	28624
60	43494	27808
61	44043	26994
62	44633	26213
63	45262	25459
64	45828	24676
65	46350	23877
66	46957	23128
67	47572	22386
68	48087	21604
69	48588	20823
70	49103	20056
71	49691	19324
72	50445	18658
73	51362	18046
74	52278	17426
75	53231	16809
76	54208	16192
77	55151	15555
78	56073	14905
79	56995	14248
80	57850	13569
81	58372	12813
82	58991	12082
83	59792	11389
84	60335	10647
85	61009	9931
86	61519	9192
87	62186	8480
88	62685	7747
89	63422	7046
90	64404	6369
91	65332	5681
92	66279	4988
93	67221	4290
94	68196	3589
95	69147	2881
96	70013	2165
97	70899	1446
98	71598	723
99	72114	0
37862	5744
96	139485	4313
97	140773	2872
98	141862	1432
99	143010	0
